"","plz2","nobs","female"
"1","00",1,0
"2","01",6688,0.179874401913876
"3","02",1601,0.198001249219238
"4","03",1886,0.159066808059385
"5","04",16406,0.192978178715104
"6","05",1,0
"7","06",10780,0.190166975881262
"8","07",5835,0.200856898029135
"9","08",4979,0.218718618196425
"10","09",7555,0.209000661813369
"11","10",55279,0.171620325982742
"12","12",17597,0.171392851054157
"13","13",13253,0.18071380064891
"14","14",17953,0.189271987968585
"15","15",6729,0.152622975182048
"16","16",5889,0.131601290541688
"17","17",5363,0.180868916651128
"18","18",6853,0.207208521815263
"19","19",4222,0.183088583609664
"20","20",32529,0.161179255433613
"21","21",13675,0.172797074954296
"22","22",33767,0.171528415316729
"23","23",7492,0.141751201281367
"24","24",9627,0.127869533603407
"25","25",6227,0.194636261442107
"26","26",12148,0.167105696410932
"27","27",7249,0.175058628776383
"28","28",11513,0.147919742899331
"29","29",3899,0.177481405488587
"30","30",11733,0.183158612460581
"31","31",7802,0.168546526531659
"32","32",9571,0.182426078779647
"33","33",11398,0.170029829794701
"34","34",7407,0.18280005400297
"35","35",9724,0.155080213903743
"36","36",5715,0.162729658792651
"37","37",5797,0.183025702949802
"38","38",8498,0.188044245704872
"39","39",6511,0.190139763477192
"40","40",31018,0.161035527758076
"41","41",10847,0.185304692541717
"42","42",8972,0.179224253232278
"43","43",2,0.5
"44","44",10485,0.177491654744874
"45","45",17521,0.179156440842418
"46","46",8582,0.175600093218364
"47","47",14330,0.185275645498953
"48","48",15176,0.152016341591987
"49","49",14950,0.152107023411371
"50","50",25624,0.174484857945676
"51","51",11305,0.187262273330385
"52","52",9437,0.176857052029247
"53","53",15182,0.191806086154657
"54","54",4514,0.159503766061143
"55","55",8622,0.154024588262584
"56","56",8538,0.160107753572265
"57","57",6201,0.148685695855507
"58","58",9911,0.175865200282514
"59","59",12260,0.170065252854812
"60","60",26223,0.199328833466804
"61","61",8778,0.192298929141034
"62","63",19930,0.184194681384847
"63","64",10941,0.18151905675898
"64","65",19965,0.184072126220887
"65","66",14017,0.178782906470714
"66","67",8649,0.177014683778471
"67","68",7179,0.121047499651762
"68","69",5526,0.118349619978284
"69","70",14903,0.14070992417634
"70","71",10119,0.12926178476134
"71","72",9706,0.133525654234494
"72","73",10327,0.137406797714728
"73","74",11072,0.119400289017341
"74","75",3656,0.12363238512035
"75","76",10883,0.126711384728476
"76","77",3941,0.092108601877696
"77","78",8147,0.11317049220572
"78","79",8885,0.107709622960045
"79","80",18834,0.193320590421578
"80","81",10753,0.205338045196689
"81","82",17836,0.175712043058982
"82","83",6788,0.198733058338244
"83","84",5147,0.18476782591801
"84","85",16478,0.17362543998058
"85","86",8756,0.179191411603472
"86","87",6802,0.172890326374596
"87","88",9889,0.149256749924158
"88","89",8295,0.157564798071127
"89","90",9415,0.144025491237387
"90","91",8585,0.150262085032033
"91","92",4855,0.132028836251287
"92","93",6580,0.174468085106383
"93","94",7596,0.176408636124276
"94","95",4574,0.185832968954963
"95","96",5007,0.163770720990613
"96","97",11233,0.188996706133713
"97","98",3017,0.195889956910839
"98","99",9752,0.199138638228056
